vfdDirAdEc,vfdDiH+AdEc
dIpajanabuDapUritAyipyAyiByo'nyatarasyAm,dIpajanabuDapUritAyipyAyiByaH+anyatarasyAm
acaH karmakartari,acaH+karmakarttari
duhaSca,duhaH+ca
tapo'nutApe ca,tapaH+anutApe+ca
kartari Sap,karttari+Sap
yaso'nupasargAt,yasaH+anupasargAt
saMyasaSca,saMyasaH+ca
akzo'nyatarasyAm,akzaH+anyatarasyAm
tanAdikfYBya uH,tanAdikfYByaH+uH
DinvikfRvyora ca,DinvikfRvyoH+a+ca
stamBustumBuskamBuskumBuskuYByaH SnuSca,stamBustumBuskamBuskumBuskuYByaH+SnuH+ca
halaH SnaH SAnajJO,halaH+SnaH+SAnac+hO
Candasi SAyajapi,Candasi+SAyac+api
vyatyayo bahulam,vyatyayaH+bahulam
liNyASizyaN,liNi+ASizi+aN
karmavat karmaRA tulyakriyaH,karmavat+karmaRA+tulyakriyaH
tapastapaHkarmakasyEva,tapaH+tapaHkarmakasya+eva
na duhasnunamAM yakciRO,na+duhasnunamAm+yakciRO
kuzirajoH prAcAM Syan parasmEpadaM ca,kuzirajoH+prAcAm+Syan+parasmEpadam+ca
tatropapadaM saptamIsTam,tatra+upapadam+saptamIsTam
kfdatiN,kft+atiN
vA'sarUpo'striyAm,vA+asarUpaH+astriyAm
aco yat,acaH+yat
poradupaDAt,poH+adupaDAt
SakisahoSca,SakisahoH+ca
gadamadacarayamaScAnupasarge,gadamadacarayamaH+ca+anupasarge
avadyapaRyavaryA garhyapaRitavyAniroDezu,avadyapaRyavaryAH+garhyapaRitavyAniroDezu
vahyaM karaRam,vahyam+karaRam
ajaryaM saMgatam,ajaryam+saMgatam
Buvo BAve,BuvaH+BAve
hanasta ca,hanaH+ta+ca
etistuSasvfdfjuzaH kyap,etistuSAsvfdfjuzaH+kyap
fdupaDAccAkxpicfteH,fdupaDAt+ca+akxpicfteH
BfYo'saMjYAyAm,BfYaH+asaMjYAyAm
mfjerviBAzA,mfjeH+viBAzA
pratyapiByAM graheSCandasi,pratyapiByAm+graheH+Candasi
yugyaM ca pattre,yugyam+ca+patre
amAvasyadanyatarasyAm,amAvasyat+anyatarasyAm
Candasi nizwarkyadevahUyapraRIyonnIyocCizya,Candasi+nizwarkyadevahUyapraRIyonnIyocCizyamaryastaryADvaryaKanyaKAnyadevayajyA''pfcCyapratizIvyabrahmavAdyaBAvyastAvyopacAyyapfqAni
fhalorRyat,fhaloH+Ryat
orAvaSyake,oH+AvaSyake
AsuyuvapirapilapitrapicamaSca,AsuyuvapirapilapitrapicamaH+ca
AnAyyo'nitye,AnAyyaH+anitye
praRAyyo'saMmatO,praRAyyaH+asaMmatO
pAyyasAnnAyyanikAyyaDAyyA mAnahavirnivAsasAmiDenIzu,pAyyasAnnAyyanikAyyaDAyyAH+mAnahavirnivAsasAmiDenIzu
nandigrahipacAdiByo lyuRinyacaH,nandigrahipacAdiByaH+lyuRinyacaH
AtaScopasarge,AtaH+ca+upasarge
anupasargAllimpavindaDAripArivedyudejicetisAtisAhiByaSca,anupasargAt+limpavindaDAripArivedyudejicetisAtisAhiByaH+ca
dadAtidaDAtyorviBAzA,dadAtidaDAtyoH+viBAzA
jvalitikasanteByo RaH,jvalitikasanteByaH+RaH
SyA''dvyaDAsrusaMsrvatIRavasA'vahflihaSlizaSvasaSca,SyA''dvyaDAsrusaMsrvatIRavasA'vahflihaSlizaSvasaH+ca
dunyoranupasarge,dunyoH+anupasarge
viBAzA graheH,viBAzA+grahaH
gasTakan,gaH+Takan
haSca vrIhikAlayoH,haH+ca+vrIhikAlayoH
karmaRyaR,karmaRi+aR
hvAvAmaSca,hvAvAmaH+ca
Ato'nupasarge kaH,AtaH+anupasarge+kaH
gApozwak,gApoH+wak
harateranudyamane'c,harateH+anudyamane+ac
carezwaH,careH+waH
puro'grato'grezu sarteH,puro'grato'grezu+sartteH
kfYo hetutAcCIlyAnulomyezu,kfYaH+hetutAcCIlyAnulomyezu
stambaSakftorin,stambaSakftoH+in
haraterdftinATayoH paSO,harateH+dftinATayoH+paSO
PalegrahirAtmamBariSca,PalegrahiH+AtmamBariH+ca
nAsikAstanayorDmADewoH,nAsikAstanayoH+DmADewoH
nAqImuzwyoSca,nAqImuzwyoH+ca
asUryalalAwayordfSitapoH,asUryalalAwayoH+dfSitapoH
ugrampaSyerammadapARinDamASca,ugrampaSyerammadapARinDamAH+ca
dvizatparayostApeH,dvizatparayoH+tApeH
vAci yamo vrate,vAci+yamaH+vrate
pUHsarvayordArisahoH,pUHsarvayoH+dArisahoH
kzemapriyamadre'R ca,kzemapriyamadre+aR+ca
saMjYAyAM BftFvfjiDArisahitapidamaH,saMjYAyAm+BftFvfjiDArisahitapidamaH
gamaSca,gamaH+ca
kumAraSIrzayorRiniH,kumAraSIrzayoH+RiniH
lakzaRe jAyApatyozwak,lakzaRe+jAyApatyoH+wak
AQyasuBagasTUlapalitanagnAnDapriyezu cvyrTezvacvO kfYaH karaRe Kyun,AQyasuBagasTUlapalitanagnAnDapriyezu+cvyarTezvacvO+karaRe+Kyun
spfSo'nudake kvin,spfSaH+anudake+kvin
ftvigdaDfksragdiguzRigaYcuyujikruYcAM ca,ftvigdaDfksragdiguzRigaYcuyujikruYcAm+ca
tyadAdizu dfSo'nAlocane kaY ca,tyadAdizu+dfSaH+anAlocane+kaY+ca
Bajo RviH,BajaH+RviH
vahaSca,vahaH+ca
havye'nantaH pAdam,havyeH+anantaHpAdam
janasanaKanakramagamo viw,janasanaKanakramagamaH+viw
ado'nanne,adaH+ananne
duhaH kab GaSca,duhaH+kap+GaH+ca
mantre SvetavahOkTaSaspuroqASo Rvin,mantre+SvetavahokTaSaspuroqASaH+Rvin
vijupe Candasi,vic+upe+Candasi
Ato maninkvanipvanipaSca,AtaH+maninkvanipvanipaH+ca
anyeByo'pi dfSyante,anyeByaH+api+dfSyante
supyajAtO RinistAcCilye,supi+ajAtO+RiniH+tAcCIlye
kartaryupamAne,kartari+upamAne
bahulamABIkzRye,bahulam+ABIkzRye
AtmamAne KaSca,AtmamAne+KaH+ca
brahmaBrURavftrezu kvip,brahmaBrURavftrezu+kvip
bahulaM Candasi,bahulam+Candasi
karmaRyagnyAKyAyAm,karmaRi+agnyAKyAyAm
karmaRInirvikriyaH,karmaRi+ini+vikriyaH
dfSeH kvanip,dfSeH+kvanip
saptamyAM janerqaH,saptamyAm+janeH+qaH
paYcamyAmajAtO,paYcamyAm+ajAtO
anyezvapi dfSyate,anyezu+api+dfSyate
suyajorNvanip,suyajoH+Nvanip
jIryateratfn,jIryateH+atfn
liwaH kAnajvA,liwaH+kAnac+vA
kvasuSca,kvasuH+ca
BAzAyAM sadavasaSruvaH,BAzAyAm+sadavasaSruvaH
upeyivAnanASvAnanUcAnaSca,upeyivAn+anASvAn+anUcAnaH+ca
haSaSvatorlaN ca,haSaSvatoH+laN+ca
praSne cAsannakAle,praSne+ca+AsannakAle
nanvorviBAzA,nanvoH+viBAzA
puri luN cAsme,puri+luN+ca+asme
vartamAne law,varttamAne+law
lawaH SatfSAnacAvapraTamAsamAnADikaraRe,lawaH+SatfSanacA+apraTamAsamAnADikaraRe
tO sat,tO+sat
dvizo'mitre,dvizaH+amitre
suYo yajYasaMyoge,suYaH+yajYasaMyoge
AkvestacCIlatadDarmatatsADukArizu,A+kve+tacCIlatadDarmatatsADukArizu
ReSCandasi,ReH+Candasi
BuvaSca,BuvaH+ca
glAjisTaSca ksnuH,glAjisTaH+ca+ksnuH
SamityazwAByo GinuR,Samiti+azwAByaH+GinuR
nindahiMsakliSaKAdavinASaparikzipaparirawaparivAdivyABAzAsUYo vuY,nindahiMsakliSaKAdavinASaparikzipaparirawaparivAdivyABAzAsUyaH+vuY
devikruSoScopasarge,devikruSoH+ca+pasarge
calanaSabdArTAdakarmakAdyuc,calanaSabdArTAt+akarmakAt+yuc
anudAttetaSca halAdeH,anudAttetaH+ca+halAdeH
kruDamaRqArTeByaSca,kruDamaRqArTeByaH+ca
sUdadIpadIkzaSca,sUdadIpadIkzaH+ca
jalpaBikzakuwwaluRwavfNaH zAkan,jalpaBikzakuwwaluRWavfNaH+zAkan
prajoriniH,prajoH+iniH
jidfkziviSrIRvamAvyaTAByamapariBUprasUByaSca,jidfkziviSrIRvamAvyaTAByamapariBUprasUByaH+ca
spfhigfhipatidayinidrAtandrASradDABya Aluc,spfhigfhipatidayinidrAtandrASradDAByaH+Aluc
BaYjaBAsamido Gurac,BaYjaBAsamidaH+Gurac
iRnaSjisarttiByaH kvarap,iRnaSjisarttiByaH+kvarap
gatvaraSca,gatvaraH+ca
jAgurUkaH,jAguH+UkaH
yajajapadaSAM yaNaH,yajajapadaSAm+yaNaH
namikampismyajasakamahiMsadIpo raH,namikampismyajasakamahiMsadIpaH+raH
sanASaMsaBikza uH,sanASaMsaBikzaH+uH
vinduricCuH,vinduH+icCuH
kyAcCandasi,kyAt+Candasi
svapitfzornajiN,svapitfzoH+najiN
SFvandyorAruH,SFvandyoH+AruH
sTeSaBAsapisakaso varac,sTeSaBAsapisakasaH+varac
yaSca yaNaH,yaH+ca+yaNaH
BrAjaBAsaDurvidyutorjipFjugrAvastuvaH kvip,BrAjaBAsaDurvidyutorjipFjugrAvastuvaH+kvip
anyeByo'pi dfSyate,anyeByaH+api+dfSyate
viprasamByo qvasaMjYAyAm,viprasamByaH+qu+asaMjYAyAm
artilUDUsUKanasahacara itraH,artilUDUsUKanasahacaraH+itraH
kartari carzidevatayoH,kartari+ca+fzidevatayoH
matibudDipUjArTeByaSca,matibudDipUjArTeByaH+ca
uRAdayo bahulam,uRAdayaH+bahulam
BUte'pi dfSyante,BUte+api+dfSyante
yAvatpurAnipAtayorlaw,yAvatpurAnipAtayoH+law
liN corDvamOhUrtike,liN+ca+UrDvamOhUrtike
tumunRvulO kriyAyAM kriyArTAyAm,tumunRvulO+kriyAyAm+kriyArTAyAm
BAvavacanASca,BAvavacanAH+ca
lfwaH sad vA,lfwaH+sat+vA
padarujaviSaspfSo GaY,padarujaviSaspfSaH+GaY
parimaRAKyAyAM sarveByaH,parimaRAKyAyAm+sarveByaH
iNaSca,iNaH+ca
SriRIBuvo'nupasarge,SriRIBuvaH+anupasarge
avodorniyaH,avodoH+niyaH
unnyorgraH,unnyoH+graH
pre stro'yajYe,pre+straH+ayajYe
praTane vAvaSabde,praTane+vO+aSabde
parinyornIRordyUtABrezayoH,parinyoH+nIRoH+dyUtABrezayoH
parAvanupAtyaya iRaH,parO+avanupAtyaye+iRaH
hastAdAne cerasteye,hastAdAne+ceH+asteye
nivAsacitiSarIropasamADAnezvAdeSca kaH,nivAsacitiSarIropasamADAnezu+AdeH+ca+kaH
saMGe cAnOttarADarye,saMGe+ca+anOttarADarye
aBiviDO BAva inuR,aBiviDO+BAve+inuR
AkroSe'vanyorgrahaH,AkroSe+avanyoH+grahaH
viBAzA''Ni rupluvoH,viBAzA+ANi+rupluvoH
ave graho varzapratibanDe,ave+grahaH+varzapratibanDe
vfRoterAcCAdane,vfRoteH+AcCAdane
parO Buvo'vajYAne,parO+BuvaH+avajYAne
erac,eH+ac
fdorap,fdoH+ap
grahavfdfniScigamaSca,grahavfdfniScigamaH+ca
upasarge'daH,upasarge+adaH
vyaDajaporanupasarge,vyaDajapoH+anupasarge
svanahasorvA,svanahasoH+vA
kvaRo vIRAyAM ca,kvaRaH+vIRAyAm+ca
nityaM paRaH parimARe,nityam+paRaH+parimARe
mado'nupasarge,madaH+anupasarge
samudorajaH paSuzu,samudoH+ajaH+paSuzu
hvaH samprasAraRaM ca nyaByupavizu,hvaH+samprasAraRam+ca+nyaByupavizu
nipAnamAhAvaH,nipAnam+AhAvaH
BAve'nupasargasya,BAve+anupasargasya
hanaSca vaDaH,hanaH+ca+vaDaH
antarGano deSe,antarGanaH+deSe
agArEkadeSe praGaRaH praGARaSca,agArEkadeSe+praGaRaH+praGARaH+ca
udGano'tyADAnam,udGanaH+atyADAnam
apaGano'Ngam,apaGanaH+aNgam
karaRe'yovidruzu,karaRe+ayovidruzu
upaGna ASraye,upaGnaH+ASraye
saMGodGO gaRapraSaMsayoH,saMGodGO+gaRapraSaMsayoH
niGo nimitam,niGaH+nimitam
wvito'Tuc,wvitaH+aTuc
yajayAcayatavicCapracCarakzo naN,yajayAcayatavicCapracCarakzaH+naN
svapo nan,svapaH+nan
karmaRyaDikaraRe ca,karmaRi+aDikaraRe+ca
striyAM ktin,striyAm+ktin
sTAgApApacAM BAve,sTAgApApacaH+BAve
mantre vfzezapacamanavidaBUvIrA udAttaH,mantre+vfzezapacamanavidaBUvIrAH+udAttaH
UtiyUtijUtisAtihetikIrtayaSca,UtiyUtijUtisAtihetikIrttayaH+ca
vrajayajorBAve kyap,vrajayajoH+BAve+kyap
saMjYAyAM samajanizadanipatamanavidazuYSINBfYiRaH,saMjYAyAm+samajanizadanipatamanavidazuYSINBfYiRaH
a pratyayAt,a+pratyayAt
guroSca halaH,guroH+ca+halaH
zidBidAdiByo'N,zidBidAdiByaH+aN
cintipUjikaTikumbicarcaSca,cintipUjikaTikumbicarcaH+ca
AtaScopasarge,AtaH+ca+upasarge
RyAsaSranTo yuc,RyAsaSranTaH+yuc
rogAKyAyAM Rvul bahulam,rogAKyAyAm+Rvul+bahulam
viBAzA''KyAnaparipraSnayoriY ca,viBAzA+AKyAnaparipraSnayoH+iY+ca
AkroSe naYyaniH,AkroSe+naYi+aniH
kftyalyuwo bahulam,kftyalyuwaH+bahulam
karmaRi ca yena saMsparSAt kartuH SarIrasuKam,karmaRi+ca+yena+saMsparSAt+kartuH+SarIrasuKam
karaRADikaraRayoSca,karaRADikaraRayoH+ca
puMsi saMjYAyAM GaH prAyeRa,puMsi+saMjYAyAm+GaH+prAyeRa
gocarasaMcaravahavrajavyajApaRanigamASca,gocarasaMcaravahavrajavyajApaRanigamAH+ca
ave tFstrorGaY,ave+tFstroH+GaY
halaSca,halaH+ca
aDyAyanyAyodyAvasaMhArADArAvayASca,aDyAyanyAyodyAvasaMhArAH+ca
udaNko'nudake,udaNkaH+anudake
jAlamAnAyaH,jAlam+AnAyaH
Kano Ga ca,KanaH+Ga+ca
kartfkarmaRoSca BUkfYoH,kartfkarmaRoH+ca+BUkfYoH
Ato yuc,AtaH+yuc
anyeByo'pi dfSyate,anyeByaH+api+dfSyate
vartamAnasAmIpye vartamAnavadvA,vartamAnasAmIpye+vartamAnavat+vA
ASaMsAyAM BUtavacca,ASaMsAyAm+BUtavat+ca
nAnadyatanavat kriyAprabanDasAmIpyayoH,na+anadyatanavat+kriyAprabanDasAmIpyayoH
Bavizyati maryAdAvacane'varasmin,Bavizyati+maryAdAvacane+avarasmin
kAlaviBAge cAnahorAtrARAm,kAlaviBAge+ca+anahorAtrARAm
votApyoH,vA+A+utApyoH
garhAyAM laqapijAtvoH,garhAyAm+law+apijAtvoH
anavakxptyamarzayorakiMvftte api,anavakxptyamarzayoH+akiMvftte+api
jAtuyadorliN,jAtuyadoH+liN
garhAyAM ca,garhAyAm+ca
Seze lfqayadO,Seze+lfw+ayadO
utApyoH samarTayorliN,utApyoH+samarTayoH+liN
kAmapravedane'kacciti,kAmapravedane+akacciti
samBavAne'lamiti cet sidDAprayoge,samBavAne+alam+iti+cet+sidDAprayoge
viBAzA DAtO samBAvanavacane'yadi,viBAzA+DAtO+samBAvanavacane+ayadi
hetuhetumatorliN,hetuhetumatoH+liN
icCArTeByo viBAzA vartamAne,icCArTeByo+viBAzA+varttamAne
viDinimantraRAmantraRADIzwasaMpraSnaprArTanezu liN,viDinimantraRAmantraRADIzwasampraSnaprArTanezu+liN
prEzAtisargaprAptakAlezu kftyASca,prEzAtisargaprAptakAlezu+kftyAH+ca
liN corDvamOhUrtike,liN+ca+UrDvamOhUrtike
arhe kftyatfcaSca,arhe+kftyatfcaH+ca
AvaSyakADamarRyayorRiniH,AvaSyakADamarRyayoH+RiniH
kftyASca,kftyAH+ca
kriyAsamaBihAre low; lowo hisvO; vA ca taDvamoH,kriyAsamaBihAre+low+lowaH+hisvO+vA+ca+taDvamoH
samuccaye'nyatarasyAm,samuccaye+anyatarasyAm
yaTAviDyanuprayogaH pUrvasmin,yaTAviDi+anuprayogaH+pUrvasmin
upasaMvAdASaNkayoSca,upasaMvAdASaNkayoH+ca
tumarTe sesenaseasenksekasenaDyEaDyEnkaDyEkaDyEnSaDyESaDyEntavEtaveNtavenaH,tumarTe+sesenasesenksekasenaDyEDyEnkaDyEkaDyEnSaDyESaDyEntavEtaveNtavenaH
BAvalakzaRe sTeRkfYvadicarihutamijaniByastosun,BAvalakzaRe+sTeRkfYvadicarihutamijaniByaH+tosun
alaNKalvoH pratizeDayoH prAcAM ktvA,alaNKalvoH+pratizeDayoH+prAcAm+ktvA
udIcAM mANo vyatIhAre,udIcAm+mANaH+vyatIhAre
samAnakartfkayoH pUrvakAle,samAnakarttfkayoH+pUrvakAle
na yadyanAkANkze,na+yadi+anAkANkze
viBAzA'grepraTamapUrvezu,viBAzA+agrepraTamapUrvezu
karmaRyAkroSe kfYaH KamuY,karmaRi+AkroSe+kfYaH+KamuY
anyaTEvaMkaTamitTaMsu sidDAprayogaScet,anyaTEvaMkaTamitTaMsu+sidDAprayogaH+cet
yaTAtaTayorasUyAprativacane,yaTAtaTayoH+asUyAprativacane
varzapramARa UlopaScAsyAnyatarasyAm,varzapramARe+UlopaH+ca+asya+anyatarAsyam
kartrorjIvapuruzayornaSivahoH,kartroH+jIvapuruzayoH+naSivahoH
kazAdizu yaTAviDyanuprayogaH,kazAdizu+yaTAviDi+anuprayogaH
upadaMSastftIyAyAm,upadaMSaH+tftIyAyAm
hiMsArTAnAM ca samAnakarmakARAm,hiMsArTAnAm+ca+samAnakarmakARAm
saptamyAM copapIqaruDakarzaH,saptamyAm+ca+upapIqaruDakarzaH
dvitIyAyAM ca,dvitIyAyAm+ca
svANge'Druve,svANge+aDruve
viSipatipadiskandAM vyApyamAnAsevyamAnayoH,viSipatipadiskandAm+vyApyamAnAsevyamAnayoH
nAmnyAdiSigrahoH,nAmni+AdiSigrahoH
avyaye'yaTABipretAKyAne kfYaH ktvARamulO,avyaye+ayaTABipretAKyAne+kfYaH+ktvARamulO
tiryacyapavarge,tiryaci+apavarge
anvacyAnulomye,anvaci+Anulomye
'SakaDfzajYAglAGawaraBalaBakramasahArhAstyarTezu tumun,SakaDfzajYAglAGawaraBalaBakramasahArhAstyarTezu+tumun
paryAptivacanezvalamarTezu,paryAptivacanezu+alamarTezu
kartari kft,karttari+kft
BavyageyapravacanIyopasTAnIyajanyAplAvyApAtyA vA,BavyageyapravacanIyopasTAnIyajanyAplAvyApAtyAH+vA
laH karmaRi ca BAve cAkarmakeByaH.,laH+karmaRi+ca+BAve+ca+akarmakeByaH
tayoreva kftyaktaKalarTAH,tayoH+eva+kftyaktaKalarTAH
adikarmaRi ktaH kartari ca,AdikarmaRi+ktaH+karttari+ca
gatyarTAkarmakaSlizaSINsTA''savasajanaruhajIryatiByaSca,gatyarTAkarmakaSlizaSINsTA''savasajanaruhajIryatiByaH+ca
BImAdayo'pAdAne,BImAdayaH+apAdAne
tAByAmanyatroRAdayaH,tAByAm+anyatra+uRAdayaH
kto'DikaraRe ca DrOvyagatipratyavasAnArTeByaH,ktaH+aDikaraRe+ca+DrOvyagatipratyavasAnArTeByaH
wita AtmanepadAnAM were,witaH+AtmanepadAnAm+weH+e
TAsasse,TAsaH+se
liwastaJayoreSirec,liwaH+taJayoH+eSirec
parasmEpadAnAM RalatususTalaTusaRalvamAH,parasmEpadAnAm+RalatususTalaTusaRalvamAH
vido lawo vA,vidaH+lawaH+vA
bruvaH paYcAnAmAdita Aho bruvaH,bruvaH+paYcAnAm+AditaH+AhaH+bruvaH
lowo laNvat,lowaH+laNvat
eruH,eH+uH
serhyapicca,seH+hi+apit+ca
merniH,meH+niH
AmetaH,Am+etaH
savAByAM vAmO,savAByAm+vAmO
Aquttamasya picca,Aw+uttamasya+pit+ca
eta E,etaH+E
lewo'qAwO,lewaH+aqAwO
Ata E,AtaH+E
vEto'nyatra,vA+etaH+anyatra
itaSca lopaH parasmEpadezu,itaH+ca+lopaH+parasmEpadezu
sa uttamasya,saH+uttamasya
nityaM NitaH,nityam+NitaH
itaSca,itaH+ca
tasTasTamipAM tAMtaMtAmaH,tasTasTamipAm+tAMtaMtAmaH
liNassIyuw,liNaH+sIyuw
yAsuw parasmEpadezUdAtto Nicca,yAsuw+parasmEpadezu+udAttaH+Nit+ca
kidASizi,kit+ASizi
iwo't,iwaH+at
Jerjus,JeH+jus
laNaH SAkawAyanasyEva,laNaH+SAkawAyanasya+eva
dvizaSca,dvizaH+ca
ArdDaDAtukaM SezaH,ArdDaDAtukam+SezaH
liNASizi,liN+ASizi
CandasyuBayaTA,Candasi+uBayaTA
ajAdyatazwAp,ajAdyataH+wAp
fnneByo NIp,fnneByaH+NIp
ugitaSca,ugitaH+ca
vano ra ca,vanaH+ra+ca
pAdo'nyatarasyAm,pAdaH+anyatarasyAm
wAbfci,wap+fci
na zawsvasrAdiByaH,na+zawsvasrAdiByaH
ano bahuvrIheH,anaH+bahuvrIheH
qAbuBAByAmanyatarasyAm,qap+uBAByAm+anyatarasyAm
yaYaSca,yaYaH+ca
prAcAM zPa tadDitaH,prAcAm+zPaH+tadDitaH
kOravyamARqUkAByAM ca,kOravyamARqUkAByAm+ca
aparimARabistAcitakambalyeByo na tadDitaluki,aparimARabistAcitakambalyeByaH+na+tadDitaluki
kARqAntAt kzetre,kARqAntAt+kzetre
puruzAt pramARe'nyatarasyAm,puruzAt+pramARe+anyatarasyAm
bahuvrIherUDaso NIz।,bahuvrIheH+UDasaH+NIz
saMKyA'vyayAderNIp,saMKyA'vyayAdeH+NIp
dAmahAyanAntAcca,dAmahAyanAntAt+ca
ana upaDAlopinonyatarasyAm,anaH+upaDAlopinaH+anyatarasyAm
nityaM saMjYACandasoH,nityam+saMjYACandasoH
kevalamAmakaBAgaDeyapApAparasamAnAryakfta-sumaNgalaBezajAcca,kevalamAmakaBAgaDeyapApAparasamAnAryakftasumaNgalaBezajAt+ca
rAtreScAjasO,rAtreH+ca+ajasO
antarvatpativatornuk,antarvatpativatoH+nuk
patyurno yajYasaMyoge,patyuH+naH+yajYasaMyoge
nityaM sapatnyAdizu,nityam+sapatnyAdizu
pUtakratorE ca,pUtakratoH+E+ca
vfzAkapyagnikusitakusIdAnAmudAttaH,vfzAkapyagnikusitakusIdAnAm+udAttaH
manorO vA,manoH+O+vA
varRAdanudAttAttopaDAtto naH,varRAt+anudAttAt+topaDAt+taH+naH
anyato NIz।,anyataH+NIz
zidgOrAdiByaSca,zidgOrAdiByaH+ca
jAnapadakuRqagoRasTalaBAjanAgakAlanIlakuSakAmukakabarAdvfttyamatrAvapanAkftrimASrARAsTOlyavarRAnAcCAdanAyovikAramETunecCAkeSaveSezu,jAnapadakuRqagoRasTalaBAjanAgakAlanIlakuSakAmukakabarAt+vfttyamatrAvapanAkftrimASrARAsTOlyavarRAnAcCAdanAyovikAramETunecCAkeSaveSezu
SoRAt prAcAm,SoRAt+prAcAm
voto guRavacanAt,vA+utaH+guRavacanAt
bahvAdiByaSca,bahvAdiByaH+ca
nityaM Candasi,nityam+Candasi
BuvaSca,BuvaH+ca
puMyogAdAKyAyAm,puMyogAt+AKyAyAm
indravaruRaBavaSarvarudramfqahimAraRyayavayavanamAtulAcAryARAmAnuk,indravaruRaBavaSarvarudramfqahimAraRyayavayavanamAtulAcAryARAm+Anuk
krItAt karaRapUrvAt,krItAt+karaRapUrvAt
ktAdalpAKyAyAm,ktAt+alpAKyAyAm
bahuvrIheScAntodAttAt,bahuvrIheH+ca+antodAttAt
asvANgapUrvapadAdvA,asvANgapUrvapadAt+vA
svANgAccopasarjanAdasaMyogopaDAt,svANgAt+ca+upasarjanAt+asaMyogopaDAt
nAsikodarOzWajaNGAdantakarRaSfNgAcca,nAsikodarOzWajaNGAdantakarRaSfNgAt+ca
sahanaYvidyamAnapUrvAcca,sahanaYvidyamAnapUrvAt+ca
naKamuKAt saMjYAyAm,naKamuKAt+saMjYAyAm
dIrGajihvI ca cCandasi,dIrGajihvI+ca+Candasi
dikpUrvapadAnNIp,dikpUrvapadAt+NIp
saKyaSiSvIti BAzAyAm,saKI+aSiSvI+iti+BAzAyAm
jAterastrIvizayAdayopaDAt,jAteH+astrIvizayAt+ayopaDAt
pAkakarRaparRapuzpaPalamUlabAlottarapadAcca,pAkakarRaparRapuzpaPalamUlavAlottarapadAt+ca
ito manuzyajAteH,itaH+manuzyajAteH
UNutaH,UN+utaH
bAhvantAt saMjYAyAm,bAhvantAt+saMjYAyAm
paNgoSca,paNgoH+ca
UrUttarapadAdOpamye,UrUttarapadAt+Opamye
saMhitaSaPalakzaRavAmAdeSca,saMhitaSaPalakzaRavAmAdeH+ca
kadrukamaRqalvoSCandasi,kadrukamaRqalvoH+Candasi
SArNgaravAdyaYo NIn,SArNgaravAdyaYaH+NIn
yaNaScAp,yaNaH+cAp
AvawyAcca,AvawyAt+ca
yUnastiH,yUnaH+tiH
aRiYoranArzayorgurUpottamayoH zyaN gotre,aRiYoH+anArzayoH+gurUpottamayoH+zyaN+gotre
krOqyAdiByaSca,krOqyAdiByaH+ca
dEvayajYiSOcivfkzisAtyamugrikARWevidDiByo'nyatarasyAm,dEvayajYiSOcivfkzisAtyamugrikARWevidDiByaH+anyatarasyAm
samarTAnAM praTamAdvA,samarTAnAm+praTamAt+vA+vA
prAgdIvyato'R,prAk+dIvyataH+aR
aSvapatyAdiByaSca,aSvapatyAdiByaH+ca
dityadityAdityapatyuttarapadARRyaH,dityadityAdityapatyuttarapadAt+RyaH
utsAdiByo'Y,utsAdiByaH+aY
strIpuMsAByAM naYsnaYO BavanAt,strIpuMsAByAm+naYsnaYO+BavanAt
dvigorluganapatye,dvigoH+luk+anapatye
gotre'lugaci,gotre+aluk+aci
PakPiYoranyatarasyAm,PakPiYoH+anyatarasyAm
tasyApatyam,tasya+apatyam
eko gotre,ekaH+gotre
gotrAdyUnyastriyAm,gotrAt+yUni+astriyAm
ata iY,ataH+iY
bAhvAdiByaSca,bAhvAdiByaH+ca
suDAturakaN ca,suDAtuH+akaN+ca
gotre kuYjAdiByaScPaY,gotre+kuYjAdiByaH+cPaY
haritAdiByo'YaH,haritAdiByaH+aYaH
yaYiYoSca,yaYiYoH+ca
SaradvacCunakadarBAdBfguvatsAgrAyaRezu,SaradvacCunakadarBAt+BfguvatsAgrAyaRezu
droRaparvatajIvantAdanyatarayAm,droRaparvatajIvantAt+anyatarayAm
anfzyAnantarye bidAdiByo'Y,anfzi+Anantarye+bidAdiByaH+aY
gargAdiByo yaY,gargAdiByaH+yaY
maDubaBrvorbrAhmaRakOSikayoH,maDubaBrvoH+brAhmaRakOSikayoH
kapiboDAdANgirase,kapiboDAt+ANgirase
vataRqAcca,vataRqAt+ca
BargAt trEgarte,BargAt+trEgarte
SivAdiByo'R,SivAdiByaH+aR
avfdDAByo nadImAnuzIByastannAmikAByaH,avfdDAByaH+nadImAnuzIByaH+tannAmikAByaH
fzyanDakavfzRikuruByaSca,fzyanDakavfzRikuruByaH+ca
mAturut saMKyAsamBadrapUrvAyAH,mAtuH+ut+saMKyAsamBadrapUrvAyAH
vikarRaSuNgacCagalAdvatsaBaradvAjAtrizu,vikarRaSuNgacCagalAt+vatsaBaradvAjAtrizu
pIlAyA vA,pIlAyAH+vA
Qak ca maRqUkAt,Qak+ca+maRqUkAt
strIByo Qak,strIByaH+Qak
itaScAniYaH,itaH+ca+aniYaH
SuBrAdiByaSca,SuBrAdiByaH+ca
vikarRakuzItakAt kASyape,vikarRakuzItakAt+kASyape
Bruvo vuk ca,BruvaH+vuk+ca
