SrImadBagavadgItA,SrImat+Bagavat+gItA
kuryAdvidvAMstaTAsaktaScikIrzurlokasaNgraham,kuryAt+vidvAn+taTA+asaktaH+cikIrzuH+loka+saNgraham
budDiBedaYjanayedajYAnANkarmasaNginAm,budDi+Bedam+janayet+ajYAnAm+karma+saNginAm
jozayetsarvakarmARi,jozayet+sarvakarmARi
vidvAnyuktaH,vidvAn+yuktaH
samAcaran,sam+Acaran
ahaNkAravimUQAtmA,ahaNkAra+vimUQa+AtmA
kartAhamiti,kartA+aham+iti
tattvavittu,tattva+vid+tu
mahAbAho guRakarmaviBAgayoH,mahA+bAhaH+guRa+karma+viBAgayoH
guRA guRezu,guRAH+guRezu
prakfterguRasammUQAH,prakfteH+guRa+sammUQAH
tAnakftsnavido mandAnkftsnavinna,tAn+akftsna+vidaH+mandAn+kftsnavid+na
sannyasyADyAtmacetasA,sannyasya+aDyAtma+cetasA
nirASIrnirmamo BUtvA,nirASIH+nirmamaH+BUtvA
matamidannityamanutizWanti,matam+idam+nityam+anutizWanti
SradDAvanto'nasUyanto mucyante,SradDAvantaH+an +asUyantaH+mucyante
te'pi,te+api
tvetadaByasUyanto nAnutizWanti,tu+etat+aBi+asUyantaH+na+anutizWanti+
sarvajYAnavimUQAMStAn,sarvajYAn+vimUQAn+tAn
nazwAnacetasaH,nazwAn+acetasaH
sadfSaYcezwate,sadfSam+cezwate
prakfterjYAnavAnapi,prakfteH+jYAnavAn+api
prakftiM yAnti,prakftim+yAnti
kiNkarizyati,kim+karizyati
indriyasyendriyasyArTe,indriyasya+indriyasya+arTe
tayorna,tayoH+na
vaSamAgacCettO,vaSam+AgacCet+tO
hyasya,hi+asya
SreyAnsvaDarmo viguRaH,SreyAn+sva+DarmaH+viguRaH
paraDarmAtsvanuzWitAt,paraDarmAt+sva+anuzWitAt
niDanaM SreyaH,niDanam+SreyaH
paraDarmo BayAvahaH,para+DarmaH+Baya+AvahaH
arjuna uvAca,arjunaH+uvAca
prayukto'yaM pApaYcarati,prayuktaH+ayam+pApam+carati
anicCannapi,an+icCan+api
balAdiva,balAt+iva
SrIBagavAnuvAca,SrI+BagavAn+uvAca
kAma eza kroDa eza rajoguRasamudBavaH,kAmaH+ezaH+kroDaH+ezaH+rajas+guRa+sam+udBavaH
mahASano mahApApmA,mahA+aSanaH+mahA+pApmA
vidDyenamiha,vidDi+enam+iha
DUmenAvriyate,DUmena+Avriyate
vahniryaTAdarSo malena,vahniH+yaTA+AdarSaH+malena
yaTolbenAvfto garBaH,yaTA+ulbena+AvftaH+garBaH
tenedamAvftam,tena+idam+Avftam
AvftaYjYAnametena,Avftam+jYAnam+etena
jYAnino nityavEriRA,jYAninaH+nitya+vEriRA
duzpUreRAnalena,duzpUreRa+analena
mano budDirasyADizWAnamucyate,manaH+budDiH+asya+aDi+sTAnam+ucyate+
etErvimohayatyeza jYAnamAvftya,etEH+vimohayati+eza+eza+Avftya
tasmAttvamindriyARyAdO,tasmAt+tvam+indriyARi+AdO
BaratarzaBa,Barata+fzaBa
pApmAnamprajahi,pApmAnam+prajahi
hyenam,hi+enam
parARyAhurindriyeByaH,parARi+AhuH+indriyeByaH
paraM manaH,param+manaH
manasastu,manasaH+tu
budDiryo budDeH,budDiH+yaH+budDeH
paratastu,parataH+tu
evaM budDeH,evam+budDeH
paraM budDvA,param+budDvA
saMstaByAtmAnamAtmanA,saMstaBya+AtmAnam+AtmanA
SatrummahAbAho kAmarUpandurAsadam,Satrum+mahA+bAhaH+kAma+rUpam+duH+Asadam+
SrImadBagavadgItAsu,SrImat+Bagavat+gItAsu
brahmavidyAyAM yogaSAstre,brahma+vidyAyAm+yoga+SAstre
SrIkfzRArjunasaMvAde,SrI+kfzRa+arjuna+saMvAde
karmayogonAma,karma+yogaH+nAma
tftIyo'DyAyaH,tftIyaH+aDyAyaH
caturTo'DyAyaH,caturTaH+aDyAyaH
SrIBagavAnuvAca,SrI+BagavAn+uvAca
imaM vivasvate,imam+vivasvate
yogamproktavAnahamavyayam,yogam+pra+uktavAn+aham+avyayam+
vivasvAnmanave,vivasvAn+manave
manurikzvAkave'bravIt,manuH+ikzvAkaveH+abravIt
evamparamparAprAptamimaM rAjarzayo viduH,evam+paramparA+prAptam+imam+rAjA+fzayaH+viduH
sa kAleneha,saH+kAlena+iha
yogo nazwaH,yogaH+nazwaH
parantapa,param+tapa
sa evAyaM mayA,saH+eva+ayam+mayA
te'dya,te+adya
ceti,ca+iti
rahasyaM hyetaduttamam,rahasyam+hi+etat+uttamam
arjuna uvAca,arjunaH+uvAca
aparamBavato janma,aparam+BavataH+janma
paraYjanma,param+janma
kaTametadvijAnIyAntvamAdO,kaTam+etat+vijAnIyAt+tvam+AdO
proktavAniti,pra+uktavAn+iti
SrIBagavAnuvAca,SrI+BagavAn+uvAca
cArjuna,ca+arjuna
tAnyahaM veda,tAni+aham+veda
tvaM vetTa,tvam+vetTa
parantapa,param+tapa
ajo'pi,ajaH+api
sannavyayAtmA,san+avyaya+AtmA
BUtAnAmISvaro'pi,BUtAnAm+ISvaraH+api
prakftiM svAmaDizWAya,prakftim+svAm+aDizWAya
samBavAmyAtmamAyayA,samBavAmi+Atma+mAyayA
glAnirBavati,glAniH+Bavati
aByutTAnamaDarmasya,aBi+utTAnam+aDarmasya
tadAtmAnaM sfjAmyaham,tadA+AtmAnam+sfjAmi+aham 
sADUnAM vinASAya,sADUnAm vinASAya
duzkftAm,duH+kftAm
DarmasaMsTApanArTAya,Darma+saMsTApanA+arTAya
divyamevaM yo vetti,divyam+evam+yaH+vetti
dehampunarjanma,deham+punaH+janma
nEti,na+iti
mAmeti,mAm+iti
so'rjuna,saH+arjuna
vItarAgaBayakroDA manmayA mAmupASrItAH,vIta+rAga+Baya+kroDAH+mat+mayAH+mAm+up+ASritAH
bahavo jYAnatapasA,bahavaH+jYAna+tapasA 
pUtA madBAvamAgatAH,pUtAH+mat+BAvam+AgatAH
mAmprapadyante,mAm+prapadyante
tAMstaTEva BajAmyaham,tAn+taTA+eva BajAmi+aham
vartmAnuvartante,vartma+anuvartante
karmaRAM sidDiM yajanta iha,karmaRAm+sidDim+yajante+iha
kzipraM hi,kzipram+hi
sidDirBavati,sidDiH+Bavati
cAturvarRryammayA,cAturvarRryam+mayA
sfzwaNguRakarmaviBAgaSaH,sfzwam+guRa+karma +viBAgaSaH
kartAramapi,kartAram+api
mAM vidDyakartAaramavyayam,mAm+vidDi+akartAram+avyayam
mANkarmARi,mAm+karmARi
mAM yo'BijAnAti,mAm+yaH+aBijAnAti
karmaBirna,karmaBiH+na 
sa baDyate,saH+baDyate
evaYjYAtvA,evam+jYAtvA
kftaNkarma,kftam+karma
pUrvErapi,pUrvEH+api
karmEva,karma+eva
tasmAttvam,tasmAt+tvam
pUrvataraNkftam,pUrvataram+kftam
kiNkarma,kim+karma
kimakarmeti,kim+akarma+iti
kavayo'pyatra,kavayaH+api+atra
tatte,tat+te
yajjYAtvA,yat+jYAtvA
mokzyase'SuBAt,mokzyase+aSuBAt
karmaRo hyapi,akarmaRaH+hi+api
bodDavyambodDavyaYca,bodDavyam+bodDavyam+ca
akarmaRaSca,karmaRaH+ca
bodDavyaNgahanA,bodDavyam+gahanA
karmaRo gatiH,karmaRaH+gatiH
karmaRyakarma,karmaRi+akarma
paSyedakarmaRi,paSyet+akarmaRi
sa budDimAnmanuzyezu,saH+budDimAn+manuzyezu 
sa yuktaH,saH+yuktaH 
samAramBAH,sam+AramBAH
kAmasaNkalpavarjitAH,kAma+sam+kalpa+varjitAH
jYAnAgnidagDakarmARantamAhuH,jYAna+agni+dagDa+karmARam+tam+AhuH
paRqitambuDAH,paRqitam+buDAH
karmaPalAsaNgannityatfpto nirASrayaH,karma+Pala+AsaNgam+nitya+tfptaH+niH+ASrayaH
karmaRyaBipravftto'pi,karmaRi+aBi+pravfttaH+api
nEva,na+eva
kiYcitkaroti,kim+cit+karoti
nirASIryatacittAtmA,nirASIH+yatacitta+AtmA
SArIraNkevalaNkarma,SArIram+kevalam+karma
kurvannApnoti,kurvan+Apnoti
yadfcCAlABasantuzwo dvandvAtIto vimatsaraH,yat+fcCA+lABa+santuzwaH+dvandva+atItaH+vi+matsaraH
sidDAvasidDO,sidDO+asidDO
kftvApi,kftvA+api
jYAnAvasTitacetasaH,jYAna+avasTita+cetasaH
yajYAyAcarataH,yajYAya+AcarataH
samagrampravilIyate,samagram+pravilIyate
brahmArpaRambrahma,brahmA+arpaRam+brahma
havirbrahmAgnO,haviH+brahmA+agnO
brahmEva,brahmA+eva
gantavyaMbrahmakarmasamADinA,gantavyam+brahma+karma +samADinA
dEvamevApare,dEvam+eva+apare
yajYaM yoginaH,yajYam+yoginaH
paryupAsate,pari+upa+Asate
brahmAgnAvapare,brahmA+agnO+apare
yajYaM yajYenEvopajuhvati,yajYam+yajYena+eva+upajuhvati
SrotrAdInIndriyARyanye,Srotra+AdIni+indriyARi+anye
saMyamAgnizu,saMyama+agnizu 
SabdAdInvizayAnanya,Sabda+AdIn+vizayAn+anya
indriyAgnizu,indriya+agnizu
sarvARIndriyakarmARi,sarvARi+indriya+karmARi 
cApare,ca+apare 
AtmasaMyamayogAgnO,Atma+saMyama+yoga+agnO
dravyayajYAstapoyajYA yogayajYAstaTApare,dravya+yajYAH+tapaH+yajYAH+yoga+yajYAH+taTA+apare 
svADyAyajYAnayajYASca,sva+aDyAya+jYAna+yajYAH+ca
prARamprARepAnam taTApare,prARam+prARe+apAnam+taTA+apare 
prARApAnagatI,prARa+apAnagatI
prARAyAmaparAyaRAH,prARa+AyAma+para+ayanAH
niyatAhArAH,niyata+AhArAH
prARAnprARezu,prARAn+prARezu
sarvepyete,sarve+api+ete
yajYaSizwAmftaBujo yAnti,yajYa+Sizwa+amfta+BujaH+yAnti
nAyaM lokostyayajYasya,na+ayam+lokaH+asti+ayajYasya
kuto'nyaH,kutaH+anyaH 
evambahuviDAyajYA vitatA brahmaRo muKe,evam+bahu+viDAH+yajYAH+vitatAH+brahmaRaH+muKe 
karmajAnvidDi,karmajAn+vidDi
tAnsarvAnevaYjYAtvA,tAn+sarvAn+evam+jYAtvA
SreyAndravyamayAdyajYAjjYAnayajYaH,SreyAn+dravyamayAt+yajYAt+jYAna+yajYaH
parantapa,param+tapa
sarvaNkarmAKilampArTa,sarvam+karma+aKilam+pArTa
tadvidDi,tat+vidDi
jYAnaYjYAninastattvadarSinaH,jYAnam+jYAninaH+tattva+darSinaH
yajjYAtvA,yat+jYAtvA
punarmohamevaM yAsyasi,punaH+moham+evam+yAsyasi
BUtAnyaSezeRa,BUtAni+aSezeRa
drakzyasyAtmanyaTo mayi,drakzyasi+Atmani+aTaH+mayi
cedasi,cet+asi
sarvaYjYAnaplavenEva,sarvam+jYAna+plavena+eva
vfjinaM santarizyasi,vfjinam+sam+tarizyasi
yaTEDAMsi,yaTA+eDAMsi
samidDo'gnirBasmasAtkurute'rjuna,samidDaH+agniH+Basma+sAt+kurute+arjuna 
jYAnAgniH,jYAna+agniH
BasmasAtkurute,Basma+sAt+kurute
sadfSampavitramiha,sadfSam+pavitram+iha
tatsvayaM yogasaMsidDaH,tat+svayam+yoga+sam+sidDaH
kAlenAtmani,kAlena+Atmani
SradDAvA~llaBate,SradDAvAn+laBate
jYAnantatparaH,jYAnam+tat+paraH
saMyatendriyaH,saMyata+indriyaH
jYAnaM labDvA,jYAnam+labDvA
parAM SAntimacireRADigacCati,parAm+SAntim+acireRa+aDigacCati
ajYaScASradDaDAnaSca,ajYaH+ca+aSraddaDAnaH+ca
saMSayAtmA,saMSaya+AtmA
nAyaM loko'sti,na+ayam+lokaH+asti
paro na,paraH+na
suKaM saMSayAtmanaH,suKam+saMSaya+AtmanaH
yogasannyastakarmARaYjYAnasaYCinnasaMSayam,yoga+sam+nyasta+karmARam+jYAna+sam+Cinna+saMSayam
Atmavantanna,Atmavantam+na
DanaYjaya,Danam+jaya
tasmAdajYAnasamBUtaM hftsTaYjYAnAsinAtmanaH,tasmAt+ajYAna+samBUtam+hft+sTam+jYAna+asina+AtmanaH
CittvEnaM saMSayaM yogamAtizWottizWa,CittvA+enam+saMSayam+yogam+AtizWa+utizWa
oM tat,om+tat 
SrImadBagavadgItAsu,SrImat+Bagavat+gItAsu
brahmavidyAyAM yogaSAstre,brahma+vidyAyAm+yoga+SAstre
SrIkfzRArjunasaMvAde,SrI+kfzRa+arjuna+saMvAde 
jYAnakarmasannyAsayogonAma,jYAna+karma+sam+nyAsa+yogaH+nAma
caturTo'DyAyaH,caturTaH+aDyAyaH
paYcamo'DyAyaH,paYcamaH+aDyAyaH
arjuna uvAca,arjunaH+uvAca 
sannyAsaM karmaRAM kfzRa,sam+nyAsam+karmaRAm+kfzRa
punaryogaYca,punaH+yogam+ca
yacCreya etayorekantanme,yat+SreyaH+etayoH+ekam+tat+me
SrIBagavAnuvAca,SrI+BagavAn+uvAca 
karmayogaSca,karma+yogaH+ca 
niSSreyasakarAvuBO,niH+Sreyasa+karO+uBO 
tayostu,tayoH+tu
karmasannyAsAtkarmayogo viSizyate,karma+sam+nyAsAt+karma+yogaH+viSizyate
sa nityasannyAsI,saH+nitya+sam+nyAsI
yo na,yaH+na
nirdvandvo hi,niH+dvandvaH+hi
mahAbAho suKambanDAtpramucyate,mahA+bAhaH+suKam+banDAt+pramucyate
pfTagbAlAH,pfTak+bAlAH
ekamapyAsTitaH,ekam+api+AsTitaH
samyaguBayorvindate,samyak+uBayoH+vindate
yatsAMKyEH,yat+sAMKyEH
sTAnantadyogErapi,sTAnam+tat+yogEH+api
ekaM sANKyaYca,ekam+sANKyam+ca
yogaYca,yogam+ca
sa paSyati,saH+paSyati
sannyAsastu,sam+nyAsaH+tu
mahAbAho duHKamAptumayogataH,mahA+bAhaH+duKam+Aptum+ayogataH
yogayukto munirbrahma,yoga+yuktaH+muniH+brahma
cireRADigacCati,cireRa+aDigacCati
yogayukto viSudDAtmA,yoga+yuktaH+viSudDa+AtmA
vijitAtmA,vijita+AtmA
jitendriyaH,jita+indriyaH 
sarvaBUtAtmaBUtAtmA,sarvaBUta+Atma+BUta+AtmA 
kurvannapi,kurvan+api
nEva,na+eva
kiYcitkaromIti,kim+cit+karomi+iti
yukto manyeta,yuktaH+manyeta
paSyanSrfRvanspfSanjiGranaSnangacCansvapanSvasan,paSyan+SrfRvan+spfSan+jiGran+aSnan+gacCan+svapan+Svasan
pralapanvisfjangfhRanunmizannimizannapi,pralapan+visfjan+gfhRan+unmizan+nimizan+api
indriyARIndriyArTezu,indriyARi+indriya+arTezu
vartanta iti,vartante+iti 
brahmaRyADAya,brahmaRi+ADAya
saNgantyaktvA,saNgam+tyaktvA
sa pApena,saH pApena
padmapatramivAmBasA,padma+patram+iva+amBasA
kevalErindriyErapi,kevalEH+indriyEH+api 
saNgantyaktvAtmaSudDaye,saNgam+tyaktvA+Atma+SudDaye 
karmaPalantyaktvA,karma+Palam+tyaktvA
SAntimApnoti,SAntim+Apnoti
nEzWikIm,nEzWikIm 
sakto nibaDyate,saktaH+nibaDyate
sannyasyAste,sam+nyasya+Aste
suKaM vaMSo,suKam+vaMSo
nEva,na+eva
kurvanna,kurvan+na 
kartftvanna,kartftvam+na
karmaPalasaMyogam svaBAvastu,karma+Pala+saMyogam+svaBAvaH+tu
nAdatte,na+Adatte
pApaM na,pApam+na 
cEva,ca+eva
sukftaM viBuH,sukftam+viBuH 
ajYAnenAvftaM jYAnaM tena,ajYAnena+vftam+jYAnam+tena 
tadajYAnam,tat+ajYAnam
yezAnnASitamAtmanaH,yezAm+nASitam+AtmanaH
tezAmAdityavajjYAnam prakASayati,tezAm+Adityavat+jYAnam+prakASayati
tatparam,tat+param
tadbudDayastadAtmAnastannizWAstatparAyaRAH,tat+budDayaH+tadA+AtmAnaH+tat+nizWAH+tat+para+ayanAH
gacCantyapunarAvfttiM jYAnanirDUtakalmazAH,gacCanti+apunaH+Avfttim+jYAnaniH+DUta+kalmazAH
vidyAvinayasampanne,vidyA+vinaya+sampanne
cEva,ca+eva 
ihEva,iha+eva
tErjitaH,tEH+jitaH
yezAM sAmye,yezAm+sAmye
sTitammanaH,sTitam+manaH
nirdozaM hi,niH+dozam+hi
samambrahma,samam+brahma
tasmAdbrahmaRi,tasmAt+brahmaRi
prahfzyetpriyamprApya,prahfzyet+priyam+prApya
nodvijetprApya,na+ut+vijet+prApya
cApriyam,ca+apriyam 
sTirabudDirasammUQo brahmavidbrahmaRi,sTira+budDiH+sam+mUQaH+brahmavit+brahmaRi
bAhyasparSezvasaktAtmA,bAhya+sparSezu+asakta+AtmA
vindatyAtmani,vindati+Atmani
yatsuKam,yat+suKam
sa brahmayogayuktAtmA,saH+brahma+yoga+yukta+AtmA
suKamakzayamaSnute,suKam+akzayam+aSnute
saMsparSajA BogA duHKayonaya eva,sam+sparSajAH+BogAH+duHKa+yonayaH+eva 
AdyantavantaH,Adi+antavantaH
SaknotIhEva,Saknoti+iha+eva
soQumprAkSarIravimokzaRAt,soQum+prAk+SarIra+vimokzaRAt
kAmakroDodBavaM vegaM sa yuktaH,kAma+kroDa+udBavam+vegam+saH+yuktaH
sa suKI,saH+suKI
yontaHsuKo'ntarArAmastaTAntarjyotireva,yaH+antaH+suKaH+antarA+rAmaH+taTA+antaH+jyotiH+eva
sa yogI,saH+yogI
brahmanirvARambrahmaBUtoDigacCati,brahma+nirvARam+brahma+BUtaH+aDigacCati
brahmanirvARamfzayaH,brahma+nirvARam+fzayaH
CinnadvEDA yatAtmAnaH,Cinna+dvEDAH+yata+AtmAnaH 
kAmakroDaviyuktAnAM yatInAM yatacetasAm,kAma+kroDa+viyuktAnAm+yatInAm+yata+cetasAm
aBito brahmanirvARaM vartate,aBitaH+brahma+nirvARam+vartate
viditAtmanAm,vidita+AtmanAm
sparSAnkftvA,sparSAn+kftvA
bahirbAhyAMScakzuScEvAntare,bahiH+bAhyAn+cakzuH+ca+eva+antare
prARApAnO,prARa+apAnO
nAsAByantaracAriRO,nAsABi+antara+cAriRO 
yatendriyamanobudDirmunirmokzaparAyaRaH,yata+indriya+manaH+budDiH+muniH+mokza+para+ayanaH
vigatecCABayakroDo yaH,vigata+icCA+Baya+kroDaH+yaH 
mukta eva,muktaH eva
BoktAraM yajYatapasAM sarvalokamaheSvaram,BoktAram+yajYa+tapasAm+sarva+loka+mahA+ISvaram
suhfdaM sarvaBUtAnAYjYAtvA,suhfdam+sarva+BUtAnAm+jYAtvA
mAM SAntimfcCati,mAm+SAntim+fcCati 
oM tat,om+tat 
SrImadBagavadgItAsu,SrImat+Bagavat+gItAsu
brahmavidyAyAM yogaSAstre,brahma+vidyAyAm+yoga+SAstre
SrIkfzRArjunasaMvAde,SrI+kfzRa+arjuna+saMvAde 
karmasannyAsayogonAma,karma+sam+nyAsa+yogaH+nAma
paYcamo'DyAyaH,paYcamaH+aDyAyaH
zazWosDyAyaH,zazWaH+aDyAyaH
SrIBagavAnuvAca,SrI+BagavAn+uvAca
anASritaH,an+ASritaH 
karmaPalaM kAryaM karma,karma+Palam+kAryam+karma 
sa sannyAsI,saH+sam+nyAsI 
niragnirna,niH+agniH+na 
cAkriyaH,ca+akriyaH
yaM sannyAsamiti,yam+sam+nyAsam+iti
prAhuryogantaM vidDi,pra+AhuH+yogam+tam+vidDi
hyasannyastasaNkalpo yogI,hi+a+sam+nyasta+saNkalpaH+yogI
kaScana,kaH+cana
ArurukzormuneryogaNkarma,ArurukzoH+mune+yoga+karma
kAraRamucyate,kAraRam+ucyate 
yogArUQasya,yoga+ArUQasya
tasyEva,tasya+eva
kAraRamucyate,kAraRam+ucyate
nendriyArTezu,na+indriya+arTezu
karmasvanuzajjate,karmasu+anuzajjate
sarvasaNkalpasannyAsI,sarva+saNkalpa+sam+nyAsI 
yogArUQastadoucyate,yoga+ArUQaH+tadA+ucyate
udDaredAtmanAtmAnaM nAtmAnamavasAdayet,ut+haret+AtmanA+AtmAnam+na+AtmAnam+avasAdayet
AtmEva,AtmA+eva
hyAtmano banDurAtmEva,hi+AtmanaH+banDuH+AtmA+eva
ripurAtmanaH,ripuH+AtmanaH
banDurAtmAtmanastasya,banDuH+AtmA+AtmanaH+tasya
yenAtmEvAtmanA,yena+AtmA+eva+AtmanA
anAtmanastu,an+AtmanaH+tu
vartetAtmEva,varteta+AtmA+eva
jitAtmanaH,jita+AtmanaH
paramAtmA,parama+AtmA
samAhitaH,sam+AhitaH
SItozRasuKaduHKezu,SIta+uzRa+suKa+duHKezu
mAnApamAnayoH,mAna+apamAnayoH
jYAnavijYAnatfptAtmA,jYAna+vijYAna+tfpta+AtmA
kUwasTo vijitendriyaH,kUwasTaH+vijitendriyaH 
yukta ityucyate,yuktaH+iti+ucyate
samalozwASmakAYcanaH,sama+lozwa+aSma+kAm+canaH
suhfnmitrAryudAsInamaDyasTadvezyabanDuzu,suhft+mitra+ari+udAsIna+maDyasTa+dvezya+banDuzu
sADuzvapi,sADuzu+api
samabudDirviSizyate,samabudDiH+viSizyate
satatamAtmAnaM rahasi,satatam+AtmAnam+rahasi 
ekAkI yatacittAtmA,eka+AkI
yatacittAtmA,yata+citta+AtmA
nirASIraparigrahaH,niH+ASIH+aparigrahaH
sTiramAsanamAtmanaH,sTiram+Asana+AtmanaH 
nAtyucCritannAtinIcam cElAjinakuSottaram,na+ati+ut+Srftam+na+atinIcam+cEla+ajina+kuSaH+uttaram
tatrEkAgraM manaH,tatra+eka+agram+manaH
yatacittendriyakriyaH,yata+citta+indriya+kriyaH 
upaviSyAsane,upaviSya+Asane
yuYjyAdyogamAtmaviSudDaye,yuYjyAt+yogam+Atma+viSudDaye
samaNkAyaSirogrIvanDArayannacalaM sTiraH,samam+kAyaSiraH+grIvam+DArayan+acalam+sTiraH 
nAsikAgraM svandiSaScAnavalokayan,nAsikA+agram+svam+diSaH+ca+an+avalokayan
praSAntAtmA,praSAnta+AtmA
vigataBIrbrahmacArivrate,vigataBIH+brahmacAri+vrate
maccitto yukta AsIta,mat+cittaH+yuktaH+AsIta
matparaH,mat+paraH 
yuYjannevaM sadAtmAnaM yogI,yuYjan+evam+sat+AtmAnam+yogI
SAntinnirvARaparamAmmatsaMsTAmaDigacCati,SAntim+nirvARa+paramAm+mat+saMsTAm+aDigacCati
nAtyaSnatastu,na+ati+aSnataH+tu
yogossti,yogaH+asti
cEkAntamanaSnataH,ca+eka+antam+an+aSnataH 
cAtisvapnaSIlasya,ca+ati+svapna+SIlasya
jagrato nEva,jAgrataH+na+eva
cArjuna,ca+arjuna
yuktAhAravihArasya,yukta+AhAra+vihArasya
yuktasvapnAvaboDasya,yuktaH+svapna+ava+boDasya
yogo Bavati,yogaH+Bavati
viniyataYcittamAtmanyevAvatizWate,viniyatam+cittam+Atmani+eva+avatizWate 
niHspfhaH,niH+spfhaH
sarvakAmeByo yuktaH,sarva+kAmeByaH+yuktaH
ityucyate,iti+ucyate
dIpo nivAtasTo neNgate,dIpaH+nivAta+sTaH+na+iNgate
sopamA,sa+upamA
yogino yatacittasya,yoginaH+yata+cittasya
yuYjato yogamAtmanaH,yuYjataH+yogam+AtmanaH
yatroparamate,yatra+uparamate
cittannirudDaM yogasevayA,cittam+nirudDam+yoga+sevayA 
cEvAtmanAtmAnam paSyannAtmani,ca+eva+AtmanA+AtmAnam paSyan+Atmani
suKamAtyantikaM yat,suKam+Ati+antikam+yat
budDigrAhyamatIndriyam,budDi+grAhyam+ati+indriyam 
cEvAyam,ca+eva+ayam
sTitaScalati tattvataH,sTitaH+calati+tattvataH
yaM labDvA,yam+labDvA
cAparaM lABammanyate,ca+aparam+lABam+manyate
nADikaM tataH,na+aDikam+tataH
yasminsTito na,yasmin+sTitaH+na
guruRApi,guruRA+api 
taM vidyAdduHKasaMyogaviyogaM yogasaYjYitam,tam+vidyAt+duHKa+saMyoga+viyogam+yoga+saYjYitam 
sa niScayena,saH+niScayena
yoktavyo yogosnirviRRacetasA,yoktavyaH+yogaH+anirviRRa+cetasA
saNkalpapraBavAnkAmAMstyaktvA,sam+kalpa+praBavAn+kAmAn+tyaktvA 
sarvAnaSezataH,sarvAn+aSezataH
manasEvendriyagrAmaM viniyamya,manasA+eva+indriya+grAmam+viniyamya
samantataH,samam+tataH 
SanEruparamedbudDyA,SanEH+uparamet+budDyA
AtmasaMsTammanaH,Atma+saMsTam+manaH
kiYcidapi,kim+cit+api
yato yato niScarati,yataH+yataH+niH+carati
manaScaYcalamasTiram,manaH+caYcalam+asTiram 
tatastato niyamyEtadAtmanyeva,tataH+tataH+niyamya+etat+Atmani+eva
vaSaM nayet,vaSam+nayet
praSAntamanasaM hyenaM yoginaM suKamuttamam,praSAnta+manasam+hi+enam+yoginam+suKam+uttamam 
upEti,upa+eti
SAntarajasambrahmaBUtamakalmazam,SAnta+rajasam+brahma+BUtam+akalmazam 
yuYjannevaM sadAtmAnam yogI,yuYjan+evam+sat+AtmAnam+yogI
brahmasaMsparSamatyantaM suKamaSnute,brahma+saMsparSam+atyantam+suKam+aSnute
sarvaBUtasTamAtmAnaM sarvaBUtAni,sarvaBUta+sTam+AtmAnam+sarva+BUtAni
cAtmani,ca+Atmani
yogayuktAtmA,yoga+yukta+AtmA
yo mAmpaSyati,yaH+mAm+paSyati
sarvaYca,sarvam+ca
tasyAhanna,tasya+aham+na
sa ca,saH+ca
sarvaBUtasTitaM yo mAmBajatyekatvamAsTitaH,sarva+BUta+sTitam+yaH+mAm+Bajati+ekatvam+AsTitaH 
vartamAnospi,vartamAnaH+api
sa yogI,saH+yogI
AtmOpamyena,AtmA+Opamyena
samampaSyati,samam+paSyati 
yo arjuna,yaH+arjuna
suKaM vA,suKam+vA
duHKaM sa yogI,duHKam+saH+yogI
paramo mataH,paramaH+mataH
arjuna uvAca,arjunaH+uvAca
yosyaM yogastvayA,yaH+ayam+yogaH+tvayA 
proktaH,pra+uktaH
etasyAhanna,etasya+aham+na
caYcalatvAtsTitim sTirAm,caYcalatvAt+sTitim+sTirAm
caYcalaM hi,cam+calam+hi
balavaddfQam,balavat+dfQam 
tasyAhaM nigrahammanye,tasya+aham+nigraham+manye
vAyoriva,vAyoH+iva
SrIBagavAnuvAca,SrI+BagavAn+uvAca
asaMSayammahAbAho mano durnigrahaYcalam,asaMSayam+mahA+bAhaH+manaH+duH+nigraham+calam 
asaMyatAtmanA,asaMyatAt+AtmanA
yogo duzprAya iti,yogaH+duH+prAyaH+iti
vaSyAtmanA,vaSyAt+AtmanA
yatatA SakyovAptumupAyataH,yatatA+ Sakya+ava+Aptum+upAyataH
arjuna uvAca,arjunaH+uvAca
SradDayopeto yogAccalitamAnasaH,SradDayA+upetaH+yogAt+calita+mAnasaH 
yogasaMsidDiNkANgatiNkfzRa,yoga+saMsidDim+kAm+gatim+kfzRa
kaccinnoBayaviBrazwaSCinnABramiva,kat+cit+na+uBaya+viBrazwaH+Cinna+aBram+iva
apratizWo mahAbAho vimUQo brahmaRaH,aprati+sTaH+mahA+bAhaH+vimUQaH+brahmaRaH
etanme,etat+me
saMSayaNkfzRa,saMSayam+kfzRa
CettumarhasyaSezataH,Cettum+arhasi+aSezataH
tvadanyaH,tvat+anyaH
saMSayasyAsya,saMSayasya+asya
hyupapadyate,hi+upapadyate
SrIBagavAnuvAca,SrI+BagavAn+uvAca
nEvEha,na+eva+iha
nAmutra,na+amutra
vinASastasya,vinASaH+tasya
kalyARakftkaSciddurgatintAta,kalyARa+kft+kaH+cit+duH+gatim+tAta
puRyakftAM lokAnuzitvA,puRya+kftAm+lokAn+uzitvA
SucInAM SrimatAm gehe,SucInAm+SrImatAm+gehe
yogaBrazwosBijAyate,yoga+BrazwaH+aBijAyate
yoginAmeva,yoginAm+eva
etadDi,etat+hi
durlaBataraM loke,durlaBa+taram+loke
yadIdfSam,yat+IdfSam
